country_long,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,4.77364631620475,4.66596100074034,4.17046185982682,4.10401492806838,4.36733259054916,4.0273202468015405,3.2058079778122206,3.375402241139279,2.80980409272443,2.6672315528080897,3.11345739632547,3.30902697394862,3.3334037748063303,3.4221006454167795,3.33390642946498,3.34706182082623,3.24435690442685,3.22140218320925
Burundi,0.0321812151810745,0.0328156515144871,0.0246050135465073,0.0224350812879083,0.0217247938418899,0.0249742042758467,0.0241661839789393,0.0246120404070635,0.0238161554747209,0.0368850314318101,0.0413019905550161,0.042180438832307,0.0429755787605046,0.0396168300827047,0.0403541956650932,0.0438596407590311,0.0526461137470086,0.0527946300523678
Belgium,11.5043206822099,10.7279886303644,11.1313145272907,10.9412245516012,10.555782313639302,10.3005719211244,9.84311621822562,9.98415215425847,9.23170144231094,9.771847058065529,8.65806434779962,8.54961568145011,8.65727005028135,8.04349554115034,8.44406111087655,8.32375671826537,8.1554911149366,8.179711061136139
Benin,0.260007167154086,0.290594072977493,0.31646596342079,0.326451486534908,0.348273908158166,0.46611292127085,0.519232293173456,0.5001773617426409,0.525450061952798,0.552218690776448,0.5263809334256011,0.487190487574895,0.501769487097627,0.535635874149484,0.5663787369886539,0.6650066335101529,0.658601659819357,0.688722324311593
Burkina Faso,0.0853943153674019,0.0829733955568723,0.0869247478234043,0.0867191135679651,0.0856806414276332,0.101235265478276,0.1178779526760719,0.13002285611201,0.127467638080145,0.133929621329696,0.13679962865119,0.1635362252652969,0.173961011998565,0.171727227334835,0.1877351935461499,0.187704296015038,0.212053871478473,0.2161864845880299
Bangladesh,0.198172463991475,0.207053126231595,0.2124019629176,0.222868792353146,0.235263647224499,0.2547523844432889,0.266296779341981,0.288141373384069,0.306664813200526,0.342739973529334,0.364566607143118,0.3840251548595179,0.39656611450694,0.4128985227131559,0.458797539455164,0.466776363121019,0.492906612933688,0.5128373137702961
Bulgaria,5.76591100519881,5.56706695192302,6.1592264865516295,6.11388569962394,6.25149171455386,6.442554698565531,6.9738426562203095,6.67728964769189,5.7720906721967005,6.064417500191669,6.759360768871501,6.175840637031389,5.480986880455441,5.84584197704908,6.2259760426002195,5.855926256295401,6.223901903165751,5.854773433933519
Bahrain,23.4965235466992,23.4241096933917,23.063844213748897,21.606418540307494,23.2804780258155,23.476064326503,22.212054166135697,22.222321905180603,20.867877560492,20.9370245248472,20.3653240261534,20.4393734489693,21.8702401239821,22.6185245866057,22.3055968824648,21.1811953067521,20.3336240367799,19.592975838515603
"Bahamas, The",7.038576687440929,7.41085039508284,7.18567463903961,6.77343184077418,6.218292863123679,6.10212909930158,6.1353875519803704,6.13943202979516,17.2196796338673,5.86021141839656,6.73001782620424,10.0115242545678,8.47037547458615,7.069139966273191,6.33351149118119,5.7948312222331,5.6319728407933,5.86046391017413
Bosnia and Herzegovina,3.66394586733001,3.87296978312167,3.94983864404113,4.13634366347749,4.3103768804450695,4.75643898612161,5.0202097326160295,5.5297167671613705,5.51132310566671,5.62410571591573,6.48426064542703,6.091586841728589,6.16778985366107,5.59718744920459,5.71826479677561,6.5972430375313404,6.75809942551679,6.78113160660171
